user,is_private,is_failure,is_root,is_success,command,ipaddress,date,target
root,0,1,1,0,0,36.133.35.225,2021-11-19 09:20:33,0
root,0,1,1,0,0,36.133.35.225,2021-11-19 09:20:37,0
root,0,1,1,0,0,36.133.35.225,2021-11-19 09:20:43,0
root,0,1,1,0,0,36.133.35.225,2021-11-19 09:20:45,0
root,0,1,1,0,0,36.133.35.225,2021-11-19 09:20:49,0
root,0,1,1,0,0,36.133.35.225,2021-11-19 09:20:51,0
root,0,1,1,0,0,36.133.35.225,2021-11-19 09:20:55,0
root,0,1,1,0,0,36.133.35.225,2021-11-19 09:20:57,0
root,0,1,1,0,0,36.133.35.225,2021-11-19 09:21:00,0
root,0,1,1,0,0,36.133.35.225,2021-11-19 09:21:03,0
root,0,1,1,0,0,36.133.35.225,2021-11-19 09:21:06,0
root,0,1,1,0,0,36.133.35.225,2021-11-19 09:21:08,0
root,0,1,1,0,0,36.133.35.225,2021-11-19 09:21:12,0
root,0,1,1,0,0,36.133.35.225,2021-11-19 09:21:15,0
root,0,1,1,0,0,36.133.35.225,2021-11-19 09:21:17,0
root,0,1,1,0,0,36.133.35.225,2021-11-19 09:21:20,0
root,0,1,1,0,0,36.133.35.225,2021-11-19 09:21:23,0
root,0,1,1,0,0,36.133.35.225,2021-11-19 09:21:26,0
root,0,1,1,0,0,36.133.35.225,2021-11-19 09:21:29,0
root,0,1,1,0,0,36.133.35.225,2021-11-19 09:21:32,0
root,0,1,1,0,0,36.133.35.225,2021-11-19 09:21:34,0
root,0,1,1,0,0,36.133.35.225,2021-11-19 09:21:37,0
root,0,1,1,0,0,36.133.35.225,2021-11-19 09:21:40,0
root,0,1,1,0,0,36.133.35.225,2021-11-19 09:21:43,0
root,0,1,1,0,0,36.133.35.225,2021-11-19 09:21:46,0
root,0,1,1,0,0,36.133.35.225,2021-11-19 09:21:49,0
root,0,1,1,0,0,36.133.35.225,2021-11-19 09:21:52,0
root,0,1,1,0,0,36.133.35.225,2021-11-19 09:21:54,0
root,0,1,1,0,0,36.133.35.225,2021-11-19 09:21:57,0
root,0,1,1,0,0,36.133.35.225,2021-11-19 09:22:00,0
root,0,1,1,0,0,36.133.35.225,2021-11-19 09:22:02,0
root,0,1,1,0,0,36.133.35.225,2021-11-19 09:22:06,0
root,0,1,1,0,0,36.133.35.225,2021-11-19 09:22:08,0
root,0,1,1,0,0,36.133.35.225,2021-11-19 09:22:11,0
root,0,1,1,0,0,36.133.35.225,2021-11-19 09:22:15,0
root,0,1,1,0,0,36.133.35.225,2021-11-19 09:22:18,0
root,0,1,1,0,0,36.133.35.225,2021-11-19 09:22:21,0
root,0,1,1,0,0,36.133.35.225,2021-11-19 09:22:23,0
root,0,1,1,0,0,36.133.35.225,2021-11-19 09:22:26,0
root,0,1,1,0,0,36.133.35.225,2021-11-19 09:22:29,0
root,0,1,1,0,0,36.133.35.225,2021-11-19 09:22:31,0
root,0,1,1,0,0,36.133.35.225,2021-11-19 09:22:34,0
root,0,1,1,0,0,36.133.35.225,2021-11-19 09:22:37,0
root,0,1,1,0,0,36.133.35.225,2021-11-19 09:22:40,0
root,0,1,1,0,0,36.133.35.225,2021-11-19 09:22:42,0
root,0,0,1,1,1,36.133.35.225,2021-11-19 09:22:45,1
root,0,1,1,0,0,45.88.137.100,2021-11-19 10:33:51,0
root,0,1,1,0,0,45.88.137.100,2021-11-19 10:33:51,0
root,0,0,1,1,1,195.3.147.47,2021-11-19 10:53:28,1
root,0,1,1,0,0,109.173.84.254,2021-11-19 11:58:07,0
root,0,1,1,0,0,109.173.84.254,2021-11-19 11:58:08,0
root,0,0,1,1,1,109.173.84.254,2021-11-19 11:58:10,1
user,0,1,0,0,0,195.133.18.210,2021-11-19 12:03:46,0
user,0,1,0,0,0,205.185.119.112,2021-11-19 13:12:11,0
